iter	MultiClass
0	1.045821605
1	1.004974684
2	0.9731402872
3	0.9462748949
4	0.9234810989
5	0.9054674487
6	0.8900741815
7	0.8769742443
8	0.8654517325
9	0.8557903127
10	0.8473657208
11	0.8402308239
12	0.8342306332
13	0.82836231
14	0.8232580277
15	0.8183341112
16	0.8143652016
17	0.810470581
18	0.806804254
19	0.8037775208
20	0.8007994885
21	0.7979190244
22	0.7955226643
23	0.7928964916
24	0.7902271073
25	0.7881329
26	0.7860943271
27	0.7841929436
28	0.782453942
29	0.7806304434
30	0.778767829
31	0.7768259177
32	0.7750054721
33	0.7735592773
34	0.7720213073
35	0.7704016941
36	0.7688219738
37	0.767543354
38	0.7661257504
39	0.7645463931
40	0.7631775586
41	0.7619770135
42	0.7606298622
43	0.7592057306
44	0.7579094961
45	0.7567077926
46	0.7553317229
47	0.7540770338
48	0.7528163543
49	0.7516710721
50	0.7505830006
51	0.7495190554
52	0.7483600059
53	0.74720211
54	0.7461160666
55	0.7449863046
56	0.7440293832
57	0.7429905946
58	0.741887608
59	0.7407705687
60	0.7398716266
61	0.7387931476
62	0.7378261566
63	0.7369515433
64	0.7361385328
65	0.735169606
66	0.7343016979
67	0.7334022581
68	0.7324932072
69	0.7316496388
70	0.7306849457
71	0.7297869597
72	0.7288395411
73	0.7280739274
74	0.7271542034
75	0.7263877864
76	0.7255972229
77	0.7248418221
78	0.7240656083
79	0.723365606
80	0.7225767064
81	0.7218754897
82	0.7211234713
83	0.7203067111
84	0.7194692208
85	0.7187163107
86	0.7179332384
87	0.7173142697
88	0.7165802835
89	0.7159073175
90	0.7153419878
91	0.7147430832
92	0.71409307
93	0.7134276526
94	0.7128134196
95	0.7121437272
96	0.7114272934
97	0.7109116473
98	0.710292632
99	0.7097657517
