iter	Passed	Remaining
0	432	42791
1	691	33895
2	943	30491
3	1205	28920
4	1463	27813
5	1743	27315
6	2002	26601
7	2258	25978
8	2515	25436
9	2770	24932
10	3027	24497
11	3298	24186
12	3552	23772
13	3803	23362
14	4058	23000
15	4318	22671
16	4580	22363
17	4833	22017
18	5099	21742
19	5356	21426
20	5611	21111
21	5863	20789
22	6116	20475
23	6378	20197
24	6635	19905
25	6887	19602
26	7137	19298
27	7392	19009
28	7646	18719
29	7894	18421
30	8156	18155
31	8434	17923
32	8695	17654
33	8954	17382
34	9204	17093
35	9453	16806
36	9703	16522
37	9952	16237
38	10196	15948
39	10452	15678
40	10714	15418
41	10971	15151
42	11223	14877
43	11486	14619
44	11744	14354
45	12011	14100
46	12288	13857
47	12548	13594
48	12800	13322
49	13047	13047
50	13301	12779
51	13554	12511
52	13814	12250
53	14064	11981
54	14326	11721
55	14573	11450
56	14822	11181
57	15071	10913
58	15322	10647
59	15598	10398
60	15850	10134
61	16108	9872
62	16361	9608
63	16612	9344
64	16869	9083
65	17122	8820
66	17378	8559
67	17654	8307
68	17906	8045
69	18157	7781
70	18409	7519
71	18666	7259
72	18922	6998
73	19183	6740
74	19436	6478
75	19685	6216
76	19936	5954
77	20188	5694
78	20445	5434
79	20709	5177
80	20958	4916
81	21207	4655
82	21456	4394
83	21706	4134
84	21965	3876
85	22217	3616
86	22483	3359
87	22729	3099
88	22982	2840
89	23244	2582
90	23493	2323
91	23746	2064
92	23993	1805
93	24248	1547
94	24510	1290
95	24770	1032
96	25034	774
97	25303	516
98	25555	258
99	25807	0
